t,x,y,yaw_deg,v,nearest_idx,target_idx,target_x,target_y,delta_deg,delta_rad
2.7,-6.13376,30.05382,3.24539,8.0,45,65,2.31092,30.0,-2.6140882,-0.0456244
2.75,-5.7344,30.07646,2.88458,8.0,46,66,2.73109,30.0,-2.4635366,-0.0429968
2.8,-5.3349,30.09659,2.54457,8.0,47,67,3.15126,30.0,-2.3151458,-0.0404069
2.85,-4.9353,30.11435,2.22507,8.0,48,68,3.57143,30.0,-2.1695033,-0.037865
2.9,-4.5356,30.12988,1.92568,8.0,49,69,3.9916,30.0,-2.02712,-0.0353799
2.95,-4.13583,30.14332,1.64596,8.0,50,70,4.41176,30.0,-1.8884358,-0.0329594
3.0,-3.73599,30.15481,1.38539,8.0,51,71,4.83193,30.0,-1.7538239,-0.03061
3.05,-3.33611,30.16448,1.14341,8.0,52,72,5.2521,30.0,-1.6235959,-0.0283371
3.1,-2.93619,30.17246,0.91941,8.0,53,73,5.67227,30.0,-1.4980061,-0.0261451
3.15,-2.53624,30.17888,0.71274,8.0,53,73,5.67227,30.0,-1.4212658,-0.0248058
3.2,-2.13627,30.18386,0.51666,8.0,54,74,6.09244,30.0,-1.3021263,-0.0227264
3.25,-1.73629,30.18747,0.33703,8.0,55,75,6.51261,30.0,-1.1878811,-0.0207324
3.3,-1.33629,30.18982,0.17316,8.0,56,76,6.93277,30.0,-1.0786708,-0.0188264
3.35,-0.9363,30.19103,0.02436,8.0,57,77,7.35294,30.0,-0.974592,-0.0170098
3.4,-0.5363,30.1912,-0.11008,8.0,58,78,7.77311,30.0,-0.8757011,-0.0152839
3.45,-0.1363,30.19043,-0.23088,8.0,59,79,8.19328,30.0,-0.7820188,-0.0136488
3.5,0.2637,30.18882,-0.33875,8.0,60,80,8.61345,30.0,-0.6935331,-0.0121044
3.55,0.66369,30.18645,-0.43441,8.0,61,81,9.03361,30.0,-0.6102034,-0.0106501
3.6,1.06368,30.18342,-0.51858,8.0,62,82,9.45378,30.0,-0.5319636,-0.0092845
3.65,1.46367,30.1798,-0.59196,8.0,63,83,9.87395,30.0,-0.458725,-0.0080063
3.7,1.86364,30.17567,-0.65523,8.0,64,84,10.29412,30.0,-0.3903797,-0.0068134
3.75,2.26362,30.17109,-0.70908,8.0,65,85,10.71429,30.0,-0.3268029,-0.0057038
3.8,2.66359,30.16614,-0.75416,8.0,66,86,11.13445,30.0,-0.2678557,-0.004675
3.85,3.06355,30.16088,-0.7911,8.0,67,87,11.55462,30.0,-0.2133873,-0.0037243
3.9,3.46352,30.15535,-0.82054,8.0,68,88,11.97479,30.0,-0.1632371,-0.002849
